"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"477",2008,"District of Columbia","Oral Cavity and Pharynx","13.5","78",580236
"478",2008,"Florida","Oral Cavity and Pharynx","14.2","3294",18527305
"479",2008,"Georgia","Oral Cavity and Pharynx","11.2","1035",9504843
"480",2008,"Hawaii","Oral Cavity and Pharynx","12.8","195",1332213
"481",2008,"Idaho","Oral Cavity and Pharynx","11.1","175",1534320
"482",2008,"Illinois","Oral Cavity and Pharynx","11.7","1584",12747038
"483",2008,"Indiana","Oral Cavity and Pharynx","11.8","818",6424806
"484",2008,"Iowa","Oral Cavity and Pharynx","11.2","391",3016734
"485",2008,"Kansas","Oral Cavity and Pharynx","10.9","334",2808076
"486",2008,"Kentucky","Oral Cavity and Pharynx","13.4","639",4289878
"487",2008,"Louisiana","Oral Cavity and Pharynx","12.5","596",4435586
"488",2008,"Maine","Oral Cavity and Pharynx","11.7","197",1330509
"489",2008,"Maryland","Oral Cavity and Pharynx","10.3","627",5684965
"490",2008,"Massachusetts","Oral Cavity and Pharynx","11.5","852",6468967
"491",2008,"Michigan","Oral Cavity and Pharynx","11.4","1280",9946889
"492",2008,"Minnesota","Oral Cavity and Pharynx","10.5","602",5247018
"493",2008,"Mississippi","Oral Cavity and Pharynx","13","407",2947806
"494",2008,"Missouri","Oral Cavity and Pharynx","12","799",5923916
"495",2008,"Montana","Oral Cavity and Pharynx","12","138",976415
"496",2008,"Nebraska","Oral Cavity and Pharynx","12.4","241",1796378
"497",2008,"Nevada","Oral Cavity and Pharynx","10.4","283",2653630
"498",2008,"New Hampshire","Oral Cavity and Pharynx","10.6","159",1315906
"499",2008,"New Jersey","Oral Cavity and Pharynx","10","970",8711090
"500",2008,"New Mexico","Oral Cavity and Pharynx","9.3","205",2010662
"501",2008,"New York","Oral Cavity and Pharynx","10.4","2211",19212436
"502",2008,"North Carolina","Oral Cavity and Pharynx","12.5","1263",9309449
"503",2008,"North Dakota","Oral Cavity and Pharynx","10.9","82",657569
"504",2008,"Ohio","Oral Cavity and Pharynx","11.1","1477",11515391
"505",2008,"Oklahoma","Oral Cavity and Pharynx","13.7","553",3668976
"506",2008,"Oregon","Oral Cavity and Pharynx","10.6","460",3768748
"507",2008,"Pennsylvania","Oral Cavity and Pharynx","11.3","1708",12612285
"508",2008,"Rhode Island","Oral Cavity and Pharynx","10.9","130",1055003
"509",2008,"South Carolina","Oral Cavity and Pharynx","11.7","595",4528996
"510",2008,"South Dakota","Oral Cavity and Pharynx","10.6","96",799124
"511",2008,"Tennessee","Oral Cavity and Pharynx","11.8","828",6247411
"512",2008,"Texas","Oral Cavity and Pharynx","10.9","2490",24309039
"513",2008,"United States","Oral Cavity and Pharynx","11.4","37523",304093966
"514",2008,"Utah","Oral Cavity and Pharynx","7.9","167",2663029
"515",2008,"Vermont","Oral Cavity and Pharynx","10.5","80",624151
"516",2008,"Virginia","Oral Cavity and Pharynx","10.4","860",7833496
"517",2008,"Washington","Oral Cavity and Pharynx","11.4","797",6562231
"518",2008,"West Virginia","Oral Cavity and Pharynx","12.9","300",1840310
"519",2008,"Wisconsin","Oral Cavity and Pharynx","10.9","693",5640996
"520",2008,"Wyoming","Oral Cavity and Pharynx","13.7","83",546043
"521",2009,"Alabama","Oral Cavity and Pharynx","12.7","688",4757938
"522",2009,"Alaska","Oral Cavity and Pharynx","11.2","75",698895
"523",2009,"Arizona","Oral Cavity and Pharynx","9","623",6343154
"524",2009,"Arkansas","Oral Cavity and Pharynx","12.7","423",2896843
"525",2009,"California","Oral Cavity and Pharynx","10.5","3873",36961229
