Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2009,Connecticut,Female Breast,21.1,503,1828779
2009,Delaware,Female Breast,20.3,114,459795
2009,District of Columbia,Female Breast,29.2,98,311828
2009,Florida,Female Breast,21.3,2776,9534289
2009,Georgia,Female Breast,24.5,1221,4917756
2009,Hawaii,Female Breast,15.7,130,673075
2009,Idaho,Female Breast,22.5,185,775398
2009,Illinois,Female Breast,22.7,1719,6520723
2009,Indiana,Female Breast,23.2,892,3281477
2009,Iowa,Female Breast,20.9,432,1532739
2009,Kansas,Female Breast,21.4,370,1428139
2009,Kentucky,Female Breast,23.3,614,2193136
2009,Louisiana,Female Breast,25.6,661,2295199
2009,Maine,Female Breast,21.3,195,678694
2009,Maryland,Female Breast,23.4,798,2960001
2009,Massachusetts,Female Breast,22.4,949,3365859
2009,Michigan,Female Breast,22.9,1418,5044338
2009,Minnesota,Female Breast,21.3,683,2659958
2009,Mississippi,Female Breast,24.5,424,1522000
2009,Missouri,Female Breast,23.2,861,3042021
2009,Montana,Female Breast,22.9,146,490122
2009,Nebraska,Female Breast,19.4,216,913619
2009,Nevada,Female Breast,24,333,1327618
2009,New Hampshire,Female Breast,17.7,147,666875
2009,New Jersey,Female Breast,24,1348,4493506
2009,New Mexico,Female Breast,21.9,262,1031238
2009,New York,Female Breast,22,2691,9966620
2009,North Carolina,Female Breast,21.2,1183,4846501
2009,North Dakota,Female Breast,20.4,88,329674
2009,Ohio,Female Breast,23.6,1745,5902018
2009,Oklahoma,Female Breast,21,464,1878034
2009,Oregon,Female Breast,18.9,454,1923209
2009,Pennsylvania,Female Breast,23.7,2123,6497024
2009,Rhode Island,Female Breast,20.6,146,544764
2009,South Carolina,Female Breast,22.1,618,2357030
2009,South Dakota,Female Breast,18,96,403198
2009,Tennessee,Female Breast,23.3,893,3231769
2009,Texas,Female Breast,21.2,2599,12500150
2009,United States,Female Breast,22.2,40676,155964075
2009,Utah,Female Breast,20.2,227,1355509
2009,Vermont,Female Breast,20,77,317128
2009,Virginia,Female Breast,24.2,1095,4037895
2009,Washington,Female Breast,20.8,791,3343920
2009,West Virginia,Female Breast,22.9,292,937434
2009,Wisconsin,Female Breast,21.1,758,2856103
2009,Wyoming,Female Breast,20.7,68,274046
2010,Alabama,Female Breast,23.5,696,2462449
