Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2006,Virginia,Lung and Bronchus,54.7,4064,7673725
2006,Washington,Lung and Bronchus,49.8,3083,6370753
2006,West Virginia,Lung and Bronchus,69.4,1587,1827912
2006,Wisconsin,Lung and Bronchus,47.8,2852,5577655
2006,Wyoming,Lung and Bronchus,44.6,234,522667
2007,Alabama,Lung and Bronchus,61.5,3157,4672840
2007,Alaska,Lung and Bronchus,56.8,253,680300
2007,Arizona,Lung and Bronchus,40.6,2616,6167681
2007,Arkansas,Lung and Bronchus,63.2,2033,2848650
2007,California,Lung and Bronchus,39.9,13165,36250311
2007,Colorado,Lung and Bronchus,37.6,1586,4803868
2007,Connecticut,Lung and Bronchus,44.9,1800,3527270
2007,Delaware,Lung and Bronchus,56.6,549,871749
2007,District of Columbia,Lung and Bronchus,49.6,270,574404
2007,Florida,Lung and Bronchus,49.1,11720,18367842
2007,Georgia,Lung and Bronchus,55.5,4470,9349988
2007,Hawaii,Lung and Bronchus,36.3,545,1315675
2007,Idaho,Lung and Bronchus,41.4,600,1505105
2007,Illinois,Lung and Bronchus,54,6902,12695866
2007,Indiana,Lung and Bronchus,61,4017,6379599
2007,Iowa,Lung and Bronchus,51.8,1834,2999212
2007,Kansas,Lung and Bronchus,50.9,1510,2783785
2007,Kentucky,Lung and Bronchus,74.5,3401,4256672
2007,Louisiana,Lung and Bronchus,59.4,2628,4375581
2007,Maine,Lung and Bronchus,55.6,913,1327040
2007,Maryland,Lung and Bronchus,50.4,2812,5653408
2007,Massachusetts,Lung and Bronchus,50.7,3609,6431559
2007,Michigan,Lung and Bronchus,55.1,5914,10001284
2007,Minnesota,Lung and Bronchus,45.2,2418,5207203
2007,Mississippi,Lung and Bronchus,64.5,1924,2928350
2007,Missouri,Lung and Bronchus,59.7,3864,5887612
2007,Montana,Lung and Bronchus,50.8,567,964706
2007,Nebraska,Lung and Bronchus,48.6,938,1783440
2007,Nevada,Lung and Bronchus,53.7,1292,2601072
2007,New Hampshire,Lung and Bronchus,53.2,747,1312540
2007,New Jersey,Lung and Bronchus,46.9,4422,8677885
2007,New Mexico,Lung and Bronchus,37.7,772,1990070
2007,New York,Lung and Bronchus,45,9349,19132335
2007,North Carolina,Lung and Bronchus,56.8,5349,9118037
2007,North Dakota,Lung and Bronchus,40.1,302,652822
2007,Ohio,Lung and Bronchus,58.4,7465,11500468
2007,Oklahoma,Lung and Bronchus,63.5,2489,3634349
2007,Oregon,Lung and Bronchus,49.7,2033,3722417
2007,Pennsylvania,Lung and Bronchus,51.4,7944,12563937
2007,Rhode Island,Lung and Bronchus,54.2,665,1057315
2007,South Carolina,Lung and Bronchus,56.4,2698,4444110
2007,South Dakota,Lung and Bronchus,47.2,424,791623
2007,Tennessee,Lung and Bronchus,65.8,4343,6175727
2007,Texas,Lung and Bronchus,47.7,9624,23831983
2007,United States,Lung and Bronchus,50.7,158683,301231207
2007,Utah,Lung and Bronchus,22.9,437,2597746
2007,Vermont,Lung and Bronchus,56.3,404,623481
2007,Virginia,Lung and Bronchus,53.3,4061,7751000
2007,Washington,Lung and Bronchus,50.1,3179,6461587
2007,West Virginia,Lung and Bronchus,64.9,1505,1834052
2007,Wisconsin,Lung and Bronchus,48.2,2915,5610775
2007,Wyoming,Lung and Bronchus,45.5,249,534876
2008,Alabama,Lung and Bronchus,58.8,3079,4718206
2008,Alaska,Lung and Bronchus,53.7,258,687455
2008,Arizona,Lung and Bronchus,40.2,2669,6280362
2008,Arkansas,Lung and Bronchus,67.5,2218,2874554
2008,California,Lung and Bronchus,38.6,13067,36604337
2008,Colorado,Lung and Bronchus,36.6,1600,4889730
2008,Connecticut,Lung and Bronchus,42.4,1744,3545579
2008,Delaware,Lung and Bronchus,57.3,571,883874
2008,District of Columbia,Lung and Bronchus,52.5,294,580236
2008,Florida,Lung and Bronchus,49.1,11963,18527305
2008,Georgia,Lung and Bronchus,51.8,4325,9504843
2008,Hawaii,Lung and Bronchus,36.4,555,1332213
